,y,x_3,x_6,x_7,x_9,x_10,x_11,x_12,x_20,x_21,x_22,x_24,x_27,x_30,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,0,2,2,2,1,2,1,2,2,1,2,2,3,3,1,2,1,2,2,2,2,1
x_3,2,0,2,2,1,4,3,4,4,3,4,4,5,5,3,4,3,4,4,4,4,3
x_6,2,2,0,2,1,4,3,4,4,3,4,4,5,5,3,4,3,4,4,4,4,3
x_7,2,2,2,0,1,4,3,4,4,3,4,4,5,5,3,4,3,4,4,4,4,3
x_9,1,1,1,1,0,3,2,3,3,2,3,3,4,4,2,3,2,3,3,3,3,2
x_10,2,4,4,4,3,0,1,2,4,3,4,4,5,5,3,4,3,4,4,4,4,3
x_11,1,3,3,3,2,1,0,1,3,2,3,3,4,4,2,3,2,3,3,3,3,2
x_12,2,4,4,4,3,2,1,0,4,3,4,4,5,5,3,4,3,4,4,4,4,3
x_20,2,4,4,4,3,4,3,4,0,1,2,4,5,5,3,4,3,4,4,4,4,3
x_21,1,3,3,3,2,3,2,3,1,0,1,3,4,4,2,3,2,3,3,3,3,2
x_22,2,4,4,4,3,4,3,4,2,1,0,4,5,5,3,4,3,4,4,4,4,3
x_24,2,4,4,4,3,4,3,4,4,3,4,0,1,1,3,4,3,2,2,2,2,1
x_27,3,5,5,5,4,5,4,5,5,4,5,1,0,2,4,5,4,3,3,3,3,2
x_30,3,5,5,5,4,5,4,5,5,4,5,1,2,0,4,5,4,3,3,3,3,2
x_32,1,3,3,3,2,3,2,3,3,2,3,3,4,4,0,1,2,3,3,3,3,2
x_33,2,4,4,4,3,4,3,4,4,3,4,4,5,5,1,0,3,4,4,4,4,3
x_34,1,3,3,3,2,3,2,3,3,2,3,3,4,4,2,3,0,3,3,3,3,2
x_35,2,4,4,4,3,4,3,4,4,3,4,2,3,3,3,4,3,0,2,2,2,1
x_36,2,4,4,4,3,4,3,4,4,3,4,2,3,3,3,4,3,2,0,2,2,1
x_37,2,4,4,4,3,4,3,4,4,3,4,2,3,3,3,4,3,2,2,0,2,1
x_38,2,4,4,4,3,4,3,4,4,3,4,2,3,3,3,4,3,2,2,2,0,1
x_39,1,3,3,3,2,3,2,3,3,2,3,1,2,2,2,3,2,1,1,1,1,0
